,CourseID,Descriptions,School
496,CLAS 0810A. Alexander the Great and the Alexander Tradition.,"This course focuses on a single historical figure, Alexander the Great,using him as a point of departure for exploring a wide range of problemsand approaches that typify the field of Classical Studies. How knowledgeof Alexander has been used and abused provides a fascinating case studyin the formation and continuous reinterpretation of the western Classicaltradition.",BrownCourses
497,CLAS 1120B. Epic Poetry from Homer to Lucan.,Traces the rich history and manifold varieties of the genre of epic poetryin the literatures of ancient Greece and Rome beginning with Homer'sIliad and Odyssey (VII c. B.C.) and ending with Lucan's Civil War (I. c.A.D.). Masterpieces such as Virgil's Aeneid and Ovid's Metamorphosesare included. Original sources read in translation.,BrownCourses
498,CLAS 1120G. The Idea of Self.,"Literature gestures us toward a certain kind of knowledge not quitepsychological, not quite philosophical. We read widely in the classicaland medieval traditions in order to gauge the peculiar nature of what thisknowledge tells us about experience and the ways in which expressionsof selfhood abide or are changed over time. Authors include but are notlimited to Sappho, Pindar, Catullus, Horace, Augustine, and Fortunatus.",BrownCourses
499,CLAS 1120L. Archaeology of Feasting.,No description available.,BrownCourses
500,CLAS 1120R. Social Conflict and Political Factions in the RomanRepublic.,"Traces the evolution of social conflict and political factions at Rome fromthe foundation to the dissolution of the Republic (C5-C1 BCE). Romanarmies secured a vast empire of territory, raw materials, and manpowergoverned by the senate and the people of Rome itself. The influx ofresources, however, destabilized Rome’s constitution and upset politicalpower balances at the city of Rome. How did the Romans—elites andmasses—compete amongst themselves for the bounty of empire abroadand confront their own internal conflicts at home? Was concord possible,or were the developments of empire inconsistent with the constitution ofthe Republic?",BrownCourses
501,CLAS 1120U. The American Presidents and the Western Tradition.,"We are accustomed to engaging the American presidency as a publicoffice best approached through the prism of government or politicalscience, but this course studies the ways in which the presidents inthought and action are part of a larger continuum of humanistic expressionin the western tradition. It is organized around five categories: memory,language, consolation, farewell, and self-reflection. Our work involvesreading and viewing/listening to various materials, including videos andoriginal documents. The words we study, both by and about presidents,will be compared to various masterworks of Greco-Roman antiquity andthe western Middle Ages.",BrownCourses
502,CLAS 1160. Classics of Indian Literature.,"This course will introduce, in English translations, the most powerfulexamples of the literature of India. The course will introduce students toIndia’s unparalleled literary richness by reading selections of the bestpoetry, drama, and narrative literature of Indian civilization from any ofits many languages (Sanskrit, Tamil, Hindi, Bengali, etc., and English),ancient and modern.",BrownCourses
503,CLAS 1205. The Long Fall of the Roman Empire.,"Once thought of as the ""Dark Ages,"" this period of western Europeanhistory should instead be seen as a fascinating time in which late Romanculture fused with that of the Germanic tribes, a mixture tempered by anew religion, Christianity. Issues of particular concern include the symbolicconstruction of political authority, the role of religion, the nature of socialloyalties, and gender roles.",BrownCourses
504,"CLAS 1210. Mediterranean Culture Wars: Archaic Greek History, c.1200 to 479 BC.","From the end of the Bronze Age to the end of the Persian Wars is a periodof considerable change in the Mediterranean and beyond. The Greek polischallenges the powers of the ancient Near East. Over seven centuries wemeet Greek writing, Homeric epic, and the first historian (Herodotus). Butthe Greek world lay on the edges of the Ancient Near East and this coursetries to offer a more balanced approach than the typically Hellenocentricperspective of the standard textbooks. CLAS 1210 addresses political,social and economic history. Literary, epigraphical and archaeologicalcultures provide the evidence.",BrownCourses
505,CLAS 1220. The Fall of Empires and Rise of Kings: Greek History 478to 323 BC.,"The Greek world was transformed in less than 200 years. The rise andfall of Empires (Athens and Persia) and metamorphosis of Macedon intoa supreme power under Philip II and Alexander the Great provide theheadlines. The course covers an iconic period of history, and explores life-changing events that affected the people of the eastern Mediterraneanand the topics that allow us to understand aspects of life and culture of thepeoples of the eastern Mediterranean. and through these transformations,offers insights into the common pressures that communities confronted.No prior knowledge of ancient history is required.",BrownCourses
506,"CLAS 1750P. Homicide, Revenge, & Marital Disasters: Reception ofGreek Drama in Rome, England, & Japan.","(1) We examine theater and its relation to society, particularly, its reflectionof legal culture (detections of murderers, adulterers, and young lovers);we also examine law’s ‘theatricality’ (‘productions’ of trials). (2) We alsoexplore more broadly how dramas were performed, using as comparandaJapanese Noh and Kabuki (in each, for example, we find all-male casting).(3) Attention is also directed toward twentieth century receptions of theseplays; we focus largely on Japanese productions, particularly of YukioNinagawa, mastermind of Japanese theater who directed numerous Greektragedies and Shakespearean plays in different venues, absorbing andsubverting phenomena of traditional Japanese theater.",BrownCourses
507,CLAS 1750T. Love and Identity in the Roman Empire.,"Sex, pirates, powerful goddesses, and mistaken identities: these are justsome of the aspects of the so-called Ancient Novel and its parodies. Inthis course we will investigate how a few fictional texts from the 1st-3rdcenturies A.D. construct their characters' gender and sexuality, andtherefore reflect concerns about wisdom, power, and difference within theRoman Empire.",BrownCourses
508,CLAS 1930B. Dying God.,"The figure of the dying god (like Adonis, Osiris, or Attis), embodyingboth beauty and tragedy, has exerted a fascination from ancient times tothe present day. His worship was sometimes central to the community,sometimes marginal, yet compelling in its ""outsider"" status. His mythsinvited meditations on love and death in various modes from comedy toepic. This course, through the great mythological texts of Greece andRome as well as modern literature and art, will explore the figure in all itsvariety, along with Christian adaptations and recent interpretations. Therewill be writing assignments.",BrownCourses
509,CLAS 1970. Special Topics.,Section numbers vary by instructor. Please check Banner for the correctsection number and CRN to use when registering for this course.,BrownCourses
510,CLAS 1990. Conference: Especially for Honors Students.,Section numbers vary by instructor. Please check banner for the correctsection number and CRN to use when registering for this course.,BrownCourses
511,CLAS 2000. Proseminar in Classics.,Introduction to standard research methods and tools in majorsubdisciplines of classical philology and ancient history. Required ofentering graduate students. Survey of various subdisciplines in order tobecome familiar with field and scholarly principles.,BrownCourses
512,CLAS 2970. Preliminary Examination Preparation.,For graduate students who have met the tuition requirement and arepaying the registration fee to continue active enrollment while preparing fora preliminary examination.,BrownCourses
513,CLAS 2980. Reading and Research.,Section numbers vary by instructor. Please check Banner for the correctsection number and CRN to use when registering for this course.Instructor permission required.,BrownCourses
514,CLAS 2990. Thesis Preparation.,For graduate students who have met the residency requirement and arecontinuing research on a full time basis.,BrownCourses
515,GREK 0100. Essentials of the Greek Language.,A two-semester approach to ancient Greek with special emphasis ondeveloping facility in rapid reading of Greek literature. Selections from AtticGreek authors. No previous knowledge of Greek is required.,BrownCourses
516,GREK 0110. Introduction to Ancient Greek.,"Intensive, one-semester introduction to Greek. No previous knowledge ofGreek is required. This is a double credit course.",BrownCourses
517,GREK 0200. Essentials of the Greek Language.,Second half of a two-semester approach to ancient Greek with specialemphasis on developing facility in rapid reading of Greek literature.Selections from Attic Greek authors. No previous knowledge of Greek isrequired.,BrownCourses
518,GREK 0300. Introduction to Greek Literature.,"Introduction to Greek literature through intensive reading. Prerequisite:GREK 0200, GREK 0110, or the equivalent. This course focuses ontranslation and comprehension of Classical Greek prose. The goal is toexpand your vocabulary, increase your ease with morphology, and deepenyour understanding of syntax as each of these elements of the languageinteract with each other. The primary text will be Plato’s Symposium, inwhich Socrates and other guests at a drinking party consider the natureof love, ἔρως and its role in personal relationships, education, and evenpolitics.",BrownCourses
519,GREK 0400. Introduction to Greek Literature.,"Prerequisite: GREK 0300 (or the equivalent). Review of grammar of theAttic dialect through rapid reading of texts by Lysias, Plato, or Xenophon.Emphasis on syntax and style.",BrownCourses
520,GREK 1050C. Sophocles.,"An introduction to the study of Athenian tragedy. Thorough translationof one drama, with attention to literary analysis. Rapid survey of otherSophoclean plays.",BrownCourses
521,GREK 1100. Advanced Homer: The Odyssey.,"It is hard to imagine a more joyful way to acquire excellent control ofHomeric Greek than by reading, in its entirety (if possible), Homer'swonderful and captivating work, the Odyssey. Though it can be a littletime-consuming initially, students quickly become familiar with the syntaxand the vocabulary, and find great pleasure in immersing themselves inthis thrilling masterpiece.",BrownCourses
522,GREK 1110F. Poetry of Gods and Heroes.,"Readings in early Greek hymns, creation myths (especially Hesiod'sTheogony), and short poems about human struggle and values.",BrownCourses
523,GREK 1110O. Aristotle: Nichomachean Ethics.,"In this class we will read Books I, II, III, and X of Aristotle's NicomacheanEthics and discuss his treatment of the highest human good, moral virtue,the doctrine of the mean, and his theory of action.",BrownCourses
524,GREK 1111F. The Greek Chorus.,"One of the most striking features of Greek drama is the presence of achorus whose members dance, sing, and contribute to the dramatic actionin ways that puzzle modern audiences. Besides the drama, chorusesare also found in other genres: in victory odes for champions of athleticcompetitions, in hymns to gods and goddesses, and in other forms suchas the dithyramb. In this class, we will read a representative selection ofchoral lyric, from Alcman to Aristophanes, including major figures such asPindar, Aeschylus, Sophocles, and Euripides.",BrownCourses
525,GREK 1111G. Philo of Alexandria and Plutarch on Virtue.,"This course reflects on the concept of virtue, which was one of the mainconcerns of philosophy and education for a long time, but seems to havepractically disappeared from today's public discourse. We'll read in Greekselections from two essays: Philo of Alexandria's On the Virtues andPlutarch's On the Virtue of Women. Philo (c. 20 a.C.- c. 46 d.C.) is acrucial figure in the tradition of Biblical exegesis and Plutarch (c. 46 d.C.-c. 120 d.C.) was regarded as a major authority down to the nineteenthcentury. Both writers are now the focus of intense scholarly attention.",BrownCourses
526,GREK 1820. Greek Literature Survey after 450 BCE.,"Surveys Greek literature after 450 BCE. Authors studied includeSophocles, Euripides, Aristophanes, Herodotus, Thucydides, as wellas the literature of the fourth century and beyond. Emphasis on literaryinterpretation and the intellectual currents of the times. Extensive readingsin the original.",BrownCourses
527,GREK 1830. Imperial Greek Prose.,"How did Greek literature evolve under the Roman Empire? In this coursewe survey Greek prose literature of the 2nd-4th centuries CE, in particulartrends related to what might be called “the Long Second Sophistic.”Authors and topics we study include: figures traditionally associated withthe Second Sophistic (Dio Chrysostom, Philostratus, Lucian, Aristides),the Greek novel, rhetorical theory and textbooks, biographical literature,travel-writing (Pausanias), Athenian-trained Christian rhetors such as theCappadocian Fathers, and the concept of paideia and its relationship tospecialized disciplines such as medicine and logic.",BrownCourses
528,GREK 1910. Special Topics.,Section numbers vary by instructor. Please check Banner for the correctsection number and CRN to use when registering for this course.,BrownCourses
529,GREK 1990. Conference: Especially for Honors Students.,Section numbers vary by instructor. Please check Banner for the correctsection number and CRN to use when registering for this course.,BrownCourses
530,GREK 2020D. Thucydides.,"Books I and VIII: language, mode of thought, and methodology; howthe work was composed, historical problems; supplementary sources:epigraphical, literary.",BrownCourses
531,GREK 2110F. Greek Palaeography and Premodern Book Cultures.,"Introduction to pre-modern Greek book culture and the study of Greekliterary scripts from classical antiquity to the Renaissance. Studentsbecome acquainted with the history of books, the context and agents oftheir production, and the transmission of Greek (classical as well as post-classical) literature. Training is provided in reading and dating differentscripts and in editing ancient texts.",BrownCourses
532,GREK 2110G. Political Trials: Treason and Accountability in FourthCentury Athens.,"In studying trials of treason and accountability, we shall examine thedemocratic ideologies and political factionalism that fueled the trials andalso the legal armature that rendered them possible. Our sources forthe most part are speeches written by the Attic orators (Demosthenes,Aeschines, Lycourgos, Deinarchos, and Hypereides) and includeimpeachment trials for treason by commission of adultery, for havingthe wrong dream in the Amphiareion, for leaving Athens in wartime; anaccountability trial for treasonous conduct while serving on an embassy;and trials (including the prosecution of Demosthenes) for accepting bribesfrom Alexander’s agent, Harpalos.",BrownCourses
533,GREK 2970. Preliminary Exam Preparation.,For graduate students who have met the tuition requirement and arepaying the registration fee to continue active enrollment while preparing fora preliminary examination.,BrownCourses
534,GREK 2980. Reading and Research.,Section numbers vary by instructor. Please check Banner for the correctsection number and CRN to use when registering for this course.Instructor permission required.,BrownCourses
535,GREK 2990. Thesis Preparation.,For graduate students who have met the residency requirement and arecontinuing research on a full time basis.,BrownCourses
536,LATN 0100. Essentials of the Latin Language.,An intensive two-semester approach to Latin with special emphasis ondeveloping facility in the rapid reading of Latin literature. No previousknowledge of Latin is required.,BrownCourses
537,LATN 0300. Introduction to Latin Literature.,"Introduction to Latin literature through intensive reading of major authors inprose and poetry with careful attention to grammar and style. Prerequisite:LATN 0100, 0200 or 0110 (or equivalent).",BrownCourses
538,LATN 0400. Introduction to Latin Literature.,"Introduction to Latin literature through intensive reading of major authors inprose and poetry with careful attention to grammar and style. Prerequisite:LATN 0100, 0200 or 0110 (or equivalent).",BrownCourses
539,LATN 1040B. Virgil: Aeneid.,Close reading of selections from all twelve books of Virgil's epic.,BrownCourses
540,"LATN 1110B. Augustine, Confessions.","We will focus on the Christian humanism of Augustine’s Confessions,reading excerpts from the autobiographical books against the diction foundin them owed to Catullus, Cicero, Horace, Lucretius, Ovid, Sallust, andVirgil. The question of why a Christian might make use of such diction willbe answered through attention to Augustine's training and his literary aimsin writing the Confessions.",BrownCourses
541,LATN 1110J. Petronius.,"Close reading of Petronius's comic masterpiece, the Satyrica, withemphasis on questions of form, narrative technique, and literary intention.",BrownCourses
542,LATN 1110S. Catullus.,"We will read all the extant poetry of Catullus with an emphasis on closereading of the Latin text and discussion of linguistic, literary, and culturalproblems.",BrownCourses
543,"LATN 1110Y. Latin Epistolography (Cicero, Pliny).","Through reading letters from different periods of Roman History, studentswill become more familiar not only with the ways letters negotiated Romansocial, political, and intellectual networks but also how Roman authorsdrew on epistolary conventions to compose literature in other forms.Authors to be read may include but are not limited to Cicero, Ovid, Plinythe Younger, and Fronto.",BrownCourses
544,LATN 1150. Latin Prose Composition.,"Review of the basic tenets of Latin syntax, composition, and style. Englishto Latin translation exercises will shore up composition skills, as westudy the stylistic traits of seven Roman authors: Cato, Caesar, Cicero,Sallust, Livy, Seneca, and Tacitus. The course will proceed chronologicallyaccording to author. Class time will be spent on translation exercisesand review, as well as the identification of the stylistic and syntacticcharacteristics of the seven authors under study.",BrownCourses
545,LATN 1810. Survey of Republican Literature.,Our purposes in this survey of Latin literature are to acquire acomprehensive historical perspective on Latin poetry and prose untilthe end of the Republic and a sense of its phases and the dynamics ofits tradition; and to read different styles of Latin poetry and prose withconfidence and ease.,BrownCourses
546,LATN 1970. Special Topics.,Section numbers vary by instructor. Please check Banner for the correctsection number and CRN to use when registering for this course.,BrownCourses
547,LATN 1990. Conference: Especially for Honors Students.,Section numbers vary by instructor. Please check Banner for the correctsection number and CRN to use when registering for this course.,BrownCourses
548,"LATN 2050. Thebes at Rome: Ovid, Seneca, Statius.","This seminar studies the significance of Thebes, and the mythologicalstories associated with it, in the epic and dramatic poetry of the earlyEmpire. The themes of civil war, identity (familial and political), andrelations of power central in Theban mythology were useful for Romansto “think with” in the political, social, and cultural climate of the 1stc. CE.;also, the poets’ emphasis on Thebes provided a useful foil to that onTroy represented especially by Vergil’s Aeneid. We will focus in particularon Ovid Metamorphoses 3 and 4, Seneca’s Theban plays, and Statius’Thebaid.",BrownCourses
549,LATN 2120A. Roman Epigraphy.,"A practical introduction to the study of Latin inscriptions, with emphasis onthe reading, editing, and interpretation of texts on stone. Class time willbe divided between discussion of various categories of texts in the light ofthe 'epigraphic habit', literacy, and the sociology of reading in antiquity andhands-on experience with editing inscriptions on stone.",BrownCourses
550,LATN 2970. Preliminary Exam Preparation.,For graduate students who have met the tuition requirement and arepaying the registration fee to continue active enrollment while preparing fora preliminary examination.,BrownCourses
551,LATN 2980. Reading and Research.,Section numbers vary by instructor. Please check Banner for the correctsection number and CRN to use when registering for this course.Instructor permission required.,BrownCourses
552,LATN 2990. Thesis Preparation.,For graduate students who have met the residency requirement and arecontinuing research on a full time basis.,BrownCourses
553,MGRK 0100. Introduction to Modern Greek.,"Designed for students with little or no prior knowledge of Modern Greek.The aim is to introduce students to basic linguistic structures and developthe ability to comprehend and produce text, as well as to speak andunderstand speech, in a variety of contexts and registers. The courseobjectives are to enable students to perform a range of tasks, master aminimum core vocabulary and acquire knowledge and understanding ofvarious forms of Greek culture.",BrownCourses
554,MGRK 0200. Introduction to Modern Greek.,"A continuation of MGRK 0100. New students may place into it, afterspecial arrangement with the instructor. The course continues on anintegrative skills approach and aims to develop language skills, withina framework of specific topics and functions. The course objectives areto enable students to perform a range of tasks, master a minimum corevocabulary and acquire knowledge and understanding of various forms ofGreek culture.",BrownCourses
555,MGRK 0300. Intermediate Modern Greek.,"Develops linguistic and cultural competence and may be taken by anyonewho has completed MGRK 0200 or after consultation with the instructorand/or a placement exam. It focuses on further development of the fourlanguage skills as well as knowledge and understanding of variousaspects of Greek society. It employs a variety of materials, including film,digital stories, internet based sources, music, art, and literature.",BrownCourses
556,MGRK 0400. Intermediate Modern Greek.,"A continuation of MGRK 0300. New students may place into it, afterspecial arrangement with the instructor. It aims to enhance language skillswithin a variety of registers and themes; enable the students to master,use and understand effectively essential linguistic structures; examine avariety of expressive forms within an authentic cultural context.",BrownCourses
557,MGRK 0500. Advanced Modern Greek.,"May be taken by students who have completed the previous sequencesor by anyone who places successfully into the course. The courseplaces emphasis on the improvement of writing and oral skills, viapresentations, collaborative projects, conversations and assignmentsbased on topics and texts, drawn from a variety of sources and culturalforms of expression.",BrownCourses
558,MGRK 0600. Advanced Modern Greek.,"A continuation of MGRK 0500. Students who have not taken the previoussequence may take a placement test, after consultation with the instructor.The course aims to promote range, accuracy and fluency and enablestudents to develop ease and spontaneity with the language. Authenticmaterials drawn from a range of sources inform the content of the courseand include films, literature, media, testimonies, music and internet basedsources. The development of transcultural competence will be an essentialcomponent of the course.",BrownCourses
559,"MGRK 1220. Decolonizing Classical Antiquity: White Nationalism,Colonialism, and Ancient Material Heritage.","Why do the material remnants of classical antiquity still attract publicattention and exercise symbolic power? Why have such monumentsbeen ""used"" by authorities and diverse social groups in the service ofoften totalitarian agendas? What are the cases where these monumentsoperate as weapons for resistance? How has colonial, racial, and nationalmodernity shaped the way we understand and experience the materialityof the classical? Finally, how can we decolonize classical antiquity?We will use a diversity of global case studies, including modern Greeceand Europe, and a variety of sources, from ethnographically derivedperformances to digital culture.",BrownCourses
560,MGRK 1910. Special Topics in Modern Greek.,No description available.,BrownCourses
561,MGRK 2200. Modern Greek for Classicists and Archaeologists.,"This graduate level course promotes the acquisition and further refinementof the necessary translingual and transcultural skills to prepare students inthe fields of Classics and Archaeology to carry out research in Greece andCyprus. In addition, it involves training in linguistic skills that will enablestudents to study closely a range of texts of relevance to these disciplines.Primary emphasis will be on the development of reading, oral and auralskills using a variety of text and web based materials, of discipline specificcontent but also in professional and other communicative contexts ofcultural currency.",BrownCourses
562,SANS 0100. Elementary Sanskrit I.,This course introduces Sanskrit to students who have no prior knowledgeof any language other than English. Students quickly learn to read theDevanāgarī script and study the basics of the sound-system of Sanskrit.The course rapidly surveys the basics of Sanskrit grammar while usingadaptations of classical Indian myths and stories as reading exercises.,BrownCourses
563,SANS 0200. Elementary Sanskrit II.,This course continues the survey of grammar and the reading exercisesof SANS 100. The second half of this course reads selected passagesof the Bhagavad Gītā and the beginning of the classic story of Nala andDamayantī from the Mahābhārata. Prerequisite: SANS 0100.,BrownCourses
564,SANS 0300. Sanskrit Epic Narrative.,"Consolidates and extends the knowledge of Sanskrit grammar introducedin first year Sanskrit; acquaints students first-hand with basic themesof ancient Indian culture, and cultivates the reading and interpretiveskills necessary to read epic and closely related Sanskrit narrative withcomprehension and increased fluency. Prerequisite: SANS 0200.",BrownCourses
565,SANS 1020. Early Sanskrit Philosophy and Religion.,"Reading in Sanskrit of selections from the Upanishads, Bhagavad Gītā,Dharmasāstras, etc. Prerequisite: SANS 0200.",BrownCourses
566,SANS 1800. Classical Schools of Indian Philosophy.,"Introduction to the classical Brahminic darsanas (comprehensive,rationalized systems of philosophy and, or, theology dealing withHermeneutics and Philosophy of Language, Logic, Metaphysics, andUltimate Beatitude) and to corresponding Buddhist and Jain traditionsthrough reading, in Sanskrit, of selected works. Prerequisite: SANS 0400.",BrownCourses
567,SANS 1990. Conference: Especially for Honors Students.,Section numbers vary by instructor. Please check Banner for the correctsection number and CRN to use when registering for this course.Instructor's permission required.,BrownCourses
568,SANS 2970. Sanskrit Preliminary Exam Preparation.,For graduate students who have met the tuition requirement and arepaying the registration fee to continue active enrollment while preparing fora preliminary examination.,BrownCourses
569,SANS 2980. Sanskrit Reading and Research.,Section numbers will vary by instructor. Please check Banner for thecorrect section number and CRN to use when registering for this course.Instructor permission required.,BrownCourses
570,"CLPS 0010. Mind, Brain and Behavior: An Interdisciplinary Approach.","This course will provide an interdisciplinary approach to the scienceof the mind through lens of psychology, cognitive science, cognitiveneuroscience, behavioral neuroscience, computational modeling andlinguistics, as uniquely represented by our department. It will focus onquestions that drive the field, current state-of-the-art, and successfultechniques and approaches. Questions addressed will include: What isthe nature of the human mind? How do we get input from the world? Howdo we communicate? How do we change as infants and adults throughexperience? How do we make decisions and judgments? How do mindsmeet other minds in a social world?",BrownCourses
571,CLPS 0050A. Computing as Done in Brains and Computers.,"Brains and computers compute in different ways. We will discuss thesoftware and hardware of brains and computers and with introductionto the way brains are organized, the way computers are organized, andwhy they are good at such different things. We will talk about our currentresearch, the Ersatz Brain Project, an attempt to design a first-classsecond-class brain. Enrollment limited to 15 first year students.",BrownCourses
572,CLPS 0100. Learning and Conditioning.,"Presents classical and contemporary approaches to the study of theprediction and control of behavior. Emphasizes theories and data derivedfrom studies of Pavlovian conditioning and instrumental learning withnonhuman animals, but also considers implications for human behavior(e.g., drug-dependent behaviors, eating disorders, behavior modificationand psychopathologies). No prerequisites.",BrownCourses
573,CLPS 0120. Introduction to Sleep.,"This course uses sleep as the focal point for describing complexbehavioral phenomena. How is sleep measured and defined? How doessleep differ across species? What accounts for the timing of sleep? Howdoes sleep change with age? What are the behavioral, physiological, andcognitive concomitants of different states of sleep? How can dreamingbe understood? What can go wrong with sleep? Recommended priorcoursework: CLPS 0001 or NEUR 0010, or an AP course in psychology orphysiology.",BrownCourses
574,CLPS 0200. Human Cognition.,"Introduction to theoretical issues and empirical findings motivatingcontroversies in human cognition. Basic issues in cognition - includingattention, memory, categorization, reasoning, decision making andproblem solving will be examined. Emphasis will be on experimentalmethods and formal theories.",BrownCourses
575,CLPS 0220. Making Decisions.,"Life is full of decisions. Some decisions are made rationally, others couldbe improved. This course considers the psychology of human decision-making, the analysis of optimal decision-making, and implications forindividual action and social policy. Topics include: chance and preference(e.g., how do consumers weigh attributes when making purchases?);the value of information (e.g., when should physicians order expensivediagnostic tests?); risky choice (e.g., is it rational to play the lottery?).",BrownCourses
576,CLPS 0300. Introduction to Linguistics.,"The ability to speak and understand a language involves having mastered(quite unconsciously) an intricate and highly structured rule-governedsystem. Linguists seek to model that rule system. This course introducesthe principles underlying phonology (the principles that govern how soundsare put together), syntax (the rule system governing sentence structure),and semantics (the system that relates sentences to meanings).",BrownCourses
577,CLPS 0400. Cognitive Neuroscience.,"This course provides an introduction to the neuroscientific study ofcognition. Topics surveyed in the course include the neural bases ofperception, attention, memory, language, excutive function, emotion, socialcognition, and decision making. In covering these topics, the course willdraw on evidence from brain imaging (fMRI, EEG, MEG), transcranialmagnetic stimulation, electrophysiology, and neuropsychology. Thecourse will also consider how knowledge about the brain constrains ourunderstanding of the mind.",BrownCourses
578,CLPS 0500. Perception and Mind.,"How do the mind and the brain take physical energy such as light or soundand convert it into our perception of the world? This course examines thebehavioral and biological bases of human and animal perceptual systems,including vision, audition, smell, taste, and touch. Particular emphasisis placed on high-level perception and how it relates to other cognitivesystems.",BrownCourses
579,CLPS 0540. Simulating Reality: The (Curious) History and Science ofImmersive Experiences.,"Can an experimental approach enhance our critical-historicalunderstanding of immersive experiences? We will look at the history of3D vision from an interdisciplinary perspective combining the scienceof perception and the cultural history of technology. Through a series ofcollaborative activities and team experiments, we will learn how popular,pre-digital optical devices (such as camerae obscurae, magic lanterns,panoramas or stereoscopes) foreshadow contemporary VR, AR, or XRexperiences designed for education and entertainment. Among the themesexplored: virtual travel, social voyeurism and surveillance, utopian anddystopian imagination.",BrownCourses
580,CLPS 0550. Science of Consciousness.,"This course will focus on consciousness related to visual perception,attention, memory, and cognitive control. The learning goal is tounderstand the neural correlates of consciousness, with an emphasis onvisual consciousness. We will examine 1) basic neural mechanisms ofperceptual and cognitive processing; 2) philosophical and neuroscientificmodels of consciousness; 3) the interaction between attention, reward,and memory and visual consciousness; 4) recent advances in research ofconsciousness by neuroscientific experiments with animals and humans.",BrownCourses
581,CLPS 0610. Children's Thinking: The Nature of CognitiveDevelopment.,"An examination of children's thinking and cognitive development frominfancy to middle childhood. Considers a range of topics includingmemory, reasoning, categorization, perception, and children'sunderstanding of concepts such as space, time, number, mind, andbiology. Major theories of cognitive development are described andevaluated in light of the available psychological data.",BrownCourses
582,CLPS 0700. Social Psychology.,"Examines the theories, findings, and methods of social psychology. Topicsinclude: social cognition (person perception, attitudes), social influence(cultural sources of attitudes, conformity), and social relations (aggression,altruism, prejudice). Students become better informed consumers ofempirical research and acquire a new framework for interpreting socialbehavior. Applications to historic and current events.",BrownCourses
583,CLPS 0701. Personality.,"A survey of the major perspectives (psychoanalytic, behavioral,humanistic, etc.) within theories of personality. Particular emphasis isplaced on the integration of research and theory.",BrownCourses
584,CLPS 0800. Language and the Mind.,"Explores fundamental issues in psycholinguistics: what is the natureof language; what are its biological underpinnings; how does the mindprocess speech, recognize words, parse sentences, comprehenddiscourse; what do effects of brain injuries on language reveal aboutthe organization of language in the mind? Syntheses of results frommultiple modes of analysis – linguistic, psychological, computational, andneurophysiological – are emphasized.",BrownCourses
585,CLPS 0900. Statistical Methods.,"A survey of statistical methods used in the behavioral sciences. Topicsinclude graphical data description, probability theory, confidence intervals,principles of hypothesis testing, analysis of variance, correlation, andregression, and techniques for categorical data. Emphasizes application ofstatistical methods to empirical data.",BrownCourses
586,CLPS 0950. Introduction to programming.,"This course will provide an introduction to matlab programming forstudents in the life sciences with no prior programming experience.At the end of this course, students will be able to implement matlabfunctions independently to solve many common programming challengesassociated with the study of the mind, brain and behavior — fromconducting sophisticated data analyses to parsing complex data files toimplementing psychophysics experiments. The course is designed forstudents in psychology, cognitive science, neuroscience and other non-computer science majors interested in learning matlab. Beyond teachingspecific coding skills, this course will support students’ development ascomputational thinkers.",BrownCourses
587,CLPS 1193. Laboratory in Genes and Behavior.,"Laboratory course in behavioral neuroscience designed to provideresearch experience in assessing effects of genetic alterations onbehavior. Students examine the behavioral phenotype of a mouse modelof human disease. Mice are tested on behavioral batteries to assess,for example cognitive, affective, and sensorimotor behavior. Recentclasses tested models of early life stress, Fragile X Mental Retardation,and Alzheimer's Disease. Students will test the mice, analyze the data,and prepare a manuscript suitable for publication in a scientific journal.Prerequisites: CLPS 0410 or NEUR 0010, and CLPS 0900 or instructorpermission. Enrollment limited to 10; not open to first-year students",BrownCourses
588,CLPS 1195. Life Under Water in the Anthropocene.,"Aquatic ecosystems are under intense pressure from a variety ofanthropogenic stressors. Through lectures, discussion and authenticresearch projects, this course will explore the impact of some of thosestressors on the development and behavior of the most vulnerable, thedeveloping young. Topics include the impact of anthropogenic stressorson local and global ecosystems; the behavioral biology, embryonicdevelopment, and behavior of two animal models, zebrafish and Xenopuslaevis; basic research techniques for studying the development andbehavior of fish and frogs; and skills needed to conduct authentic scientificresearch. Students will design, conduct and present an authentic researchproject.",BrownCourses
589,CLPS 1250. Human Factors.,"The application of knowledge of human characteristics to the design ofequipment, facilities, and environments for human use. Research onattention, perception, learning, and decision making will be applied toproblems in various areas including: aviation, highway safety, industrialsafety, consumer products, human-computer interaction, and aging.Enrollment limited to 25.",BrownCourses
590,CLPS 1310. Phonology.,"Examines some of the classic and current issues regarding soundstructure in the world's languages and introduces the theoretical toolsneeded to solve them. After an introduction to articulatory phoneticsand phonemic analysis, it focuses on phonological analysis of differentlanguages, and discusses rule-based and constraint-based approaches tophonology. Implications for language learning and language change arediscussed. Prerequisite: CLPS 0030.",BrownCourses
591,CLPS 1342. Compositional Semantics.,"Model-theoretic approaches to the study of the semantics of naturallanguages. Develops the tools necessary for an understanding of classicformal semantic results in linguistics and in philosophy (lambda calculus,intensional logic, Montague's treatment of quantification, etc.), These toolsare then applied to detailed descriptions of natural language semantics,including binding and pronouns, modification, scope, focus etc. as wellas other recent developments in semantic theory. Prerequisite: somefamiliarity with syntax or semantics or basic set theory and logic.",BrownCourses
