SECTION, TITLE, DESCRIPTION
ENGL 368,/568 Teaching of English to Speakers of Other Languages: Theory and Methods 3 Cr.,  A study of the theoretical and historical background of second language teaching as well as theories of second language acquisition with special attention to different cultural backgrounds. Topics include practical application of theories through methods of teaching speaking listening and grammar. The course will employ readings activities and class discussions among students from various linguistic and cultural traditions and require them to observe an ESL class as well as develop and teach an English language lesson. May be used to fulfill the Cultural Diversity course component of the General Education requirements. 
ENGL 369,/569 Teaching of English to Speakers of Other Languages: Methods and Practices 3 Cr.,  A study of practical applications of language learning involved in methods of teaching vocabulary reading and writing with special attention to different cultural backgrounds. The course will employ readings activities and class discussions among students from various linguistic and cultural traditions. Students will observe an ESL class as well as develop and teach an English language lesson. May be used to fulfill the Cultural Diversity course component of the General Education requirements.  
ENGL 431,/531 Advanced Writing and Rhetoric 3 Cr.,  A course for students who have developed fundamental writing and rhetorical skills and are prepared to study more sophisticated writing processes rhetorical analysis and strategies for adapting persuasive writing to particular audiences purposes genres and publication venues. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements.  
ENGL 440, Multimedia Writing and Design 3 Cr.,  This course will help students improve their use of electronic tools often used in the workplace learn the rules of design integrate content analyze audience needs and expectations create readable and inviting documents and use multimedia authoring software to write for various audiences.  
ENGL 490,/590 Topics in Literature* 3 Cr.,  An open-topic course which may concern a single writer or group of writers; a literary type or theme (e.g. Politics and Literature Novel of Social Criticism Sacred Tales Black Spiritual Narratives); a contemporary art form (e.g. Contemporary Poetry); or an aspect of modern popular culture.    English 137 
ENGL 491,/591 Seminar in Professional Writing 3 Cr.,  Students will reflect critically on the meaning of certain writing tasks in the cultures of working society. They will become more aware of such topics as the ethics of marketing strategies as applied to writing projects and assignments. They will learn enough about a subject to write not only exploratory but editorial and opinion pieces about it. Attention also will focus on the techniques problems and strategies of grant writing editing the writing of others and association publishing.  
ENGL 493, Seminar in English 3 Cr.,  Designed for juniors and seniors interested in active participation the seminar encourages independent thought and research and relies on discussion rather than lectures. Some recent topics include Literary Modernism and Women and Victorian Print Culture. Enrollment limited to 15 students. Required for English majors.  
ENGL 495, Independent Study in English 3 Cr.,  Designed to provide advanced students an opportunity to do serious research on a topic which is not covered in any regularly scheduled course offered by the English Department. In advance of the semester in which students plan to undertake projects they must arrange for directors and secure approval from the chair of the English Department. 
ENVS 381, Cooperative Education in Environmental Science 1-2 Cr.,  Experience in environmental research or management with a cooperating employer. Midterm and final written reports required. Credit hours assigned per College of Arts and Sciences guidelines. S/U grade only. May be repeated for additional credit.  
ENVS 499, Colloquium on Environmental Science and Management 0-1 Cr.,  This course contains (1) presentations by students faculty and guest speakers on current topics in environmental research issues policy and management; (2) reading and discussion of items of interest in the environmental literature; and (3) occasional workshops on topics such as public communication or technical and grant writing skills. Specific content will vary based on interests of students and faculty. S/U grade only. May be repeated for credit. Foreign Languages and Literatures 144 Valparaiso University International Engineering Program in China (VIEP in China) Engineering students who wish to enhance their program with Chinese language study study abroad and an overseas cooperative education placement should see page 322 for details about the VIEP in China program. Chinese Courses 
FLC 101, Beginning Chinese I 4 Cr.,  Basic elements of modern Chinese (Mandarin) including the four tones sentence structure and some Chinese characters. May not be taken by students who have taken language study courses in China. Refer to foreign language credit policies stated beginning on page 142. 
FLC 200, Chinese Literary Studies 3 Cr.,  Study of selected works of Chinese literature in English translation. Readings represent significant genres and literary periods presented in biographical historical and cultural context. The course provides instruction and practice in the writing of careful critical analysis of the readings. May be repeated for credit if the topic varies. May not be counted toward a minor in Chinese. May be counted toward the Chinese and Japanese Studies major or minor. May be used to fulfill the Humanities: Literature component of the General Education Requirement. 
CHST 607.,) Development of advanced writing and presentation skills in Chinese., Using a variety of primary source materials including contemporary non-fiction essays and fictional works students strengthen their grasp of different language registers enhance their ability to summarize key information in lively and engaging ways gain a better appreciation of Chinese literature and culture and refine their ability to write in a variety of styles and genres for various occasions.  
FLF 200, French and Francophone Literary Studies 3 Cr.,  Study of selected works of French or Francophone literature in English translation. Readings represent significant genres and literary periods presented in biographical historical and cultural context. The course provides instruction and practice in the writing of careful critical analysis of the readings. May not be counted toward a major or minor in French. May be used to fulfill the Humanities: Literature component of the General Education Requirement. 
FLF 204, French Composition and Conversation 4 Cr.,  A review and expansion of French language skills with emphasis on interpersonal interpretive and presentational communication. Students refine grammatical accuracy write on varied topics participate in extensive oral practice and read literature and other authentic texts while building on their understanding of French and Francophone cultures.  May be repeated for credit at the Paris Centers or similarly accredited programs. 
FLF 220, Approaches to French Literature 3 Cr.,  An introduction to the strategies of reading interpreting and writing about French literature. Reading and discussion of works from a variety of literary genres with particular attention to textual analysis (explication de texte). Some sections of this course may be used to fulfill the Writing Intensive General Education Requirement.  
FLF 260, French Film Studies 3 Cr.,  This course examines film as an artistic medium in the context of French cinema from its origins to the present. Taught in English the course focuses on cultural and historical context cinematic technique and instruction in the practice of writing critical analyses of film. May not be counted toward a major or minor in French. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
FLF 300, Topics in French and Francophone Cultures 3 Cr.,  A study of critical cultural contributions of France and the Francophone world. All work done in English. May be repeated for credit if the topic varies. May not be counted toward a major or minor in French. May be used to fulfill the Cultural Diversity course component of the General Education Requirements.  
FLF 301, Advanced Oral Expression 3 Cr.,  Development of advanced speaking and oral comprehension skills through intensive oral practice. Through discussion role-play debate and other activities students improve fluency increase vocabulary refine grammatical accuracy and learn to use appropriate linguistic register.  
FLF 302, Advanced Written Expression 3 Cr.,  Development of advanced writing skills in French. Using a variety of source materials including film fiction and nonfiction writing students develop vocabulary improve grammatical accuracy and refine their ability to write in a variety of styles and genres for various occasions.  
FLF 351, French Texts and Society: From Feudalism to Humanism 3 Cr.,  An interdisciplinary survey of French literature and cultural history from the Middle Ages through the Renaissance. Culturally significant texts (literary historical philosophical and artistic) are examined within the context of medieval and early modern French society.  
FLF 352, French Texts and Society: From Absolutism to Revolution 3 Cr.,  An interdisciplinary survey of French literature and cultural history from the Classical Age through the end of the Ancien Régime. Culturally significant texts (literary historical philosophical and artistic) are examined within the context of classicism and enlightenment in prerevolutionary French society.  
FLF 353, French Texts and Society: From Romanticism to the Fifth Republic 3 Cr.,  An interdisciplinary survey of French literature and cultural history from the Napoleonic era to present. Culturally significant texts (literary historical philosophical and artistic) are examined within the context of French society of the last two centuries.  
FLF 493, Senior French Seminar 3 Cr.,  A senior-level capstone course which integrates knowledge and skills from previous French courses. Language skills (speaking listening writing and reading) are refined as depth and nuance are added to the understanding of French history literature culture and contemporary events.  
FLGR 200, German Literary Studies 3 Cr.,  Study of selected works of German literature in English translation. Readings represent significant genres and literary periods presented in biographical historical and cultural context. The course provides instruction and practice in the writing of careful critical analysis of the readings. May not be counted toward a major or minor in German. Fulfills the Humanities: Literature component of the General Education Requirements. 
FLGR 204, German Composition and Conversation 4 Cr.,  A review and expansion of German language skills with emphasis on interpersonal interpretive and presentational communication. Students refine grammatical accuracy write on varied topics participate in extensive oral practice and read literature and other authentic texts while building on their understanding of German-language cultures.  May be repeated for credit at Reutlingen Center. 
FLGR 220, Approaches to German Studies 3 Cr.,  An introduction to the strategies of reading interpreting and writing about German texts. Reading and discussion of works from a variety of genres with particular attention to textual analysis. Fulfills the Humanities: Literature component of the General Education Requirement.  
FLGR 260, German Film Studies 3 Cr.,  Study of selected films representing significant milestones in German cinema from the 1920s to the present. The course is conducted in English and focuses on cultural and historical context cinematic technique and instruction and practice in the writing of careful critical analysis of the films. May not be counted toward a major or minor in German. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
FLGR 271, German Play Production 1-3 Cr.,  Rehearsal and performance of a play or an excerpt from a play in German. No prior acting experience required.  May be repeated for additional credit. May be used to fulfill the Fine and Performing Arts component of the Humanities General Education Requirement. 
FLGR 351, German Studies: The Middle Ages and Humanism 3 Cr.,  A study of German-language literature and culture from the emergence of the Holy Roman Empire of the German Nation to Luther and the early modern era. Intellectual and aesthetic works (e.g. architecture art drama music philosophy poetry prose fiction) are examined in cultural historical context.  
FLGR 352, German Studies: Enlightenment and Revolution 3 Cr.,  A study of German-language literature and culture from the beginnings of the modern era to the failed revolution of 1848. Intellectual and aesthetic works (e.g. architecture art drama music philosophy poetry prose fiction) are examined in cultural-historical context.  
FLGR 353, German Studies: Constructing a Modern Nation 3 Cr.,  A study of German-language literature and culture from the emergence of the first unified German nation-state in the nineteenth century to the present. Intellectual and aesthetic works (e.g. architecture art drama music philosophy poetry prose fiction) are examined in cultural-historical context.  
FLGR 493, Senior German Seminar 3 Cr.,  A senior-level capstone course which integrates knowledge and skills from previous German courses. Language skills (speaking listening writing and reading) are refined as depth and nuance are added to the understanding of German history literature culture and contemporary events.  
GKRO 201, Antiquity on Stage: Drama in Greece and Rome 3 Cr.,  A study of Greek and Roman drama in translation with emphasis on cultural background value and influence. Close reading and discussion of works from Aeschylus Sophocles Euripides Aristophanes Plautus Terence and Seneca. Introduction to literary analysis and critical writing. No knowledge of Greek or Latin required. May be used to fulfill the Humanities: Literature component of the General Education Requirements. 
GKRO 202, Greek and Latin Roots of English 3 Cr.,  A study of the etymology of the English language through close analysis of word roots from the original Greek and Latin languages. Critical reading writing and communication skills emphasized together with the historical conceptual and linguistic influence of Greek and Roman cultures. No knowledge of Greek or Latin required. May be used to fulfill the Cultural Diversity component of the General Education Requirements. 
GKRO 220, Introduction to Greek and Roman Archaeology 3 Cr.,  A study of ancient archaeological sites including sculpture painting and architecture and their relationship to the political and cultural history of ancient Greece Rome and the Mediterranean world. Field trip to a major museum. No knowledge of Greek or Latin required. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
GKRO 250, Greek and Roman Monuments in Context 3 Cr.,  A travel course in which the study of ancient Greek or Roman artistic expression takes place in Europe. Focus on archaeological sites and museum collections. Study trips will be conducted to Greece Italy or Roman Germany. Offered summers only. May be repeated for credit if the trips are different. No knowledge of Greek or Latin required. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
GKRO 251, Greek and Roman Mythology 3 Cr.,  Survey of Greek and Roman myths and their influence on enduring works of art architecture literature and other media. No knowledge of Greek or Latin required. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
GKRO 260, Greece and Rome on Film 3 Cr.,  Study of selected films representing Greek and Roman civilization and culture from the 1920s to the present. Course focuses on cultural and historical context dynamics of reception interpretation and adaptation of the ancient world for modern audiences. Includes instruction and practice in writing careful critical analyses of film and an introduction to Greek and Roman reception studies. No knowledge of Greek or Latin required. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
GKRO 290, Topics in Greek and/or Roman Studies 3 Cr.,  A study of selected themes or issues in the culture values and diversity of the Greek and Roman world and how they impact modern society through literature film or other media. Possible topics include Women in Antiquity Ancient Athletics Slavery and Race in Ancient Greece and Rome and Cultural Diversity in ancient Greece and Rome Barbarians and the “Other” in Antiquity Egyptomania in Rome. No knowledge of Greek or Latin required. May be repeated for credit provided there is no duplication of material. May be used to fulfill the Cultural Diversity component of the General Education Requirements. 
HIST 311.,) A study of Roman civilization from the 8th century B.,C. to the Council of Nicea in A.D. 325 with emphasis on cultural social and political developments. No knowledge of Greek or Latin required. May be used to fulfill the Humanities: History component of General Education Requirements.     Foreign Languages and Literatures 153 
GKRO 321, Fieldwork in Archaeology 1-3 Cr.,  Student participation in an approved excavation of an archaeological site studying the cultures of ancient Greece and/or Rome. Participants must receive some on-site instruction in excavation goals and methods. Two weeks of work will normally earn one credit. Presentation of research required.  
GKRO 390, Seminar in Greek and/or Roman Studies 3 Cr.,  Study of selected themes or issues in Greek and Roman literature language or civilization. Topics may include discussions of specific textual and material evidence from Greece and Rome (e.g. Lyric Poetry Satire Epistolography) or modern receptions and adaptations of it (e.g. How to Persuade People: Tips from Ancient Rhetoric Greece and Rome in the American Midwest The Art of Writing Letters: Ancient and Modern). May be repeated for credit provided there is no duplication of material. May be used to fulfill the Humanities: Literature component of the General Education Requirements.  
GKRO 486, Internship in Greek and Roman Studies 1-4 Cr.,  Direct supervised experience in a museum; cooperating business; government educational or service agency dedicated to the preservation and promotion of the languages and cultures of the ancient Mediterranean especially Greece and Rome. May not be applied to a major or minor in Greek and Roman Studies.  S/U grade. 
GKRO 493, Senior Greek and Roman Studies Seminar 3 Cr.,  A senior-level capstone course that integrates knowledge and skills from previous language and culture courses in Greek and Roman Studies. Language skills (particularly reading writing interpretation and in-depth analysis) are refined as depth and nuance are added to the understanding of Greek and Roman history literature culture and modern reception.  
FLJ 200, Japanese Literary Studies 3 Cr.,  Study of selected works of Japanese literature in English translation. Readings represent significant genres and literary periods presented in biographical historical and cultural context. The course provides instruction and practice in the writing of careful critical analysis of the readings. May not be counted toward a minor in Japanese. Fulfills the Humanities: Literature component of the General Education Requirement. 
FLJ 250, Topics in Japanese Literature and the Fine Arts 3 Cr.,  Study of selected works of Japanese literature in English translation and of their correlates in the visual arts and/or music. No knowledge of Japanese required. The topic Japanese Poetry and Calligraphy may be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirement. 
FLS 200, Hispanic Literary Studies 3 Cr.,  Study of selected works of Spanish language literature in English translation. Readings represent significant genres and literary periods presented in biographical historical and cultural context. The course provides instruction and practice in the writing of careful critical analysis of the readings. May not be counted toward a major or minor in Spanish. Fulfills the literature component of the Humanities General Education Requirement. 
FLS 204, Spanish Composition and Conversation 4 Cr.,  A review and expansion of Spanish language skills with emphasis on interpersonal interpretive and presentational communication. Students refine grammatical accuracy write on varied topics participate in extensive oral practice and read literature and other authentic texts while building on their understanding of Hispanic cultures.  
FLS 220, Selected Readings in Hispanic Literature 4 Cr.,  The reading and discussion of works of Hispanic literature representative of various literary genres with emphasis on the techniques of literary analysis. Some sections of this course may be used to fulfill the Writing Intensive General Education Requirement.  
FLS 303, Advanced Communication in Spanish 3 Cr.,  Students work toward mastery of the more difficult aspects of Spanish grammar. Intensive practice in oral and written expression provides the opportunity to advance students' abilities to communicate effectively in a variety of personal and professional settings.  
FLS 308, Spanish for Service Professionals 3 Cr.,  Designed for students intending to use Spanish in the service professions (medicine social work education church work etc.). Students learn discipline-related vocabulary expand content knowledge in relevant service fields and polish their Spanish-language skills.  
FLS 493, Senior Spanish Seminar 3 Cr.,  A senior-level capstone course which integrates knowledge and skills from previous Spanish courses. Language skills (speaking listening writing and reading) are refined as depth and nuance are added to the understanding of Hispanic history literature culture and contemporary events.  
FLS 498, Honors Candidacy in Spanish 3 Cr.,  See Honors Work page 64.  Geography and Meteorology 164 Geography Social Science Courses The following courses may be used to fulfill part of the Social Science component of the General Education Requirements. No course can meet more than one General Education Requirement. 
GEO 101, World Human Geography 3 Cr.,  A topical introduction to the many themes and subfields of human geography especially population economic cultural urban and political geography. Examples highlighting these themes draw from relevant contemporary events in both the industrialized and developing worlds. May be used to partially fulfill the Social Science component of the General Education requirements. 
GEO 102, Globalization and Development 3 Cr.,  A regional survey of the developing countries with an emphasis on their economic social and political development in the context of growing global interconnectedness. The course will explore issues of colonization cultural change ethnic conflict and environmental modification. May be used to fulfill the Cultural Diversity course component of the General Education Requirements or to partially fulfill the Social Science component of the General Education requirements. 
GEO 200, American Ethnic Geography 3 Cr.,  An analysis of the rich ethnic diversity of the United States including the immigration and regional settlement of each of the major cultural groups and their physical expression on the North American Landscape. Topical themes include language religion politics and urban imprints. May be used to fulfill the Cultural Diversity course component of the General Education Requirements or to partially fulfill the Social Science component of the General Education requirements. 
GEO 265, Sustainability: Environment Economy Society 3 Cr.,  An introduction to principles and practices of sustainability which seek to integrate environmental stewardship economic development and social justice. May be used to partially fulfill the Social Science component of the General Education requirements. May be used to fulfill the Writing-Intensive Course of General Education requirements. 
GEO 274, North American Indian on Film 3 Cr.,  Through history plays novels and film this course helps us to understand distinctive features of Native American life as understood by Native Americans. It dispels common myths about Native Americans examines the struggle of different tribes to maintain their identities and provides insights into their values and religious beliefs. May be used to fulfill the Cultural Diversity course component of the General Education Requirements or to partially fulfill the Social Science component of the General Education requirements. 
GEO 280, Geography of Cyberspace 3 Cr.,  A course exploring the geographical dimensions of the Internet media and telecommunications. Includes consideration of urban telecommunication online community and virtual spaces. May be used to partially fulfill the Social Science component of the General Education requirements. May be used to fulfill the Writing-Intensive Course of General Education requirements. 
GEO 301,/501 Regional Geographies of the World 3 Cr.,  A geographic interpretation of the environmental cultural political and economic patterns of one of the world's major regions such as the United States and Canada Latin America Europe Asia or Africa. May be repeated for credit when the regional offering is different. Certain regional offerings may be used to fulfill the Cultural Diversity course component of the General Education Requirements or may be used to partially fulfill the Social Science component of the General Education Requirements.  
GEO 320, Urban Geography 3 Cr.,  A course treating urban settlements as distinct geographic units. Topics covered include the history of urban settlement economic classification of cities and patterns of urban land use. Field trip. May be used to partially fulfill the Social Science component of the General Education requirements.  Geography and Meteorology 165 
GEO 420, Rural Geography 3 Cr.,  This course examines the changing geography of rural areas. Topics include globalization and the transformation of rural economies agriculture rural environmental issues tourism rural cultures and identities and the geography of country music. May be used to partially fulfill the Social Science component of the General Education requirements.  
GEO 470,/570 Political Geography 3 Cr.,  An investigation of the relations among political activities and organizations and the geographic conditions within which they develop. Political power is discussed in terms of spatial human cultural and ethnic geography. May be of interest to political science majors. May be used to partially fulfill the Social Science component of the General Education requirements. 
GEO 474,/574 Historical Geography of the United States 3 Cr.,  A regional treatment of the exploration colonization territorial expansion migration transportation settlement and economic development of our country in relation to the physical environment. Course is primarily designed for students majoring in one of the social sciences. May be used to partially fulfill the Social Science component of the General Education requirements.  May be of particular interest to history majors. 
GEO 475,/575 Culture Nature Landscape 3 Cr.,  An advanced course in cultural geography exploring the integration of culture and nature in both material landscapes and their representation in art literature or other media. The examination of culture includes consideration of race ethnicity gender and nationality. Field trip. May be used to partially fulfill the Social Science component of the General Education requirements.  Environmental and Geographic Information Science Courses 
GEO 104, Introduction to Geomorphology 3+2 4 Cr.,  The scientific analysis of natural processes and human impacts affecting the development of landscapes on the earth and other planets. Emphasis is on the interrelationships of geologic climatic hydrologic and biological cycles in creating and reshaping landforms. Field trips. Course includes a laboratory component. May be used to partially fulfill the Natural Science component of the General Education Requirements.  
GEO 130, Earth From Above 3+2 4 Cr.,  An introduction to earth observation from a distance. A study of land life water human presence and changes on the surface of the Earth using aerial photographs and satellite imagery. Students will learn essential skills in interpreting as well as measuring earth surface features and processes from various remotely sensed data. This course includes a laboratory component. May be used to partially fulfill the Natural Science component of the General Education Requirements.  
GEO 204, National Parks 3 Cr.,  A study of geographic concepts both physical and cultural of many national park areas including all of the 55 national parks many national monuments and other areas controlled by the park system. Required four-day field trip during the fall break to Mammoth Cave National Park. 
GEO 215, Introduction to Geographic Information Systems 3+2 4 Cr.,  An introduction to the theory and practical use of geographic information systems. These powerful research tools combine computer mapping and databases to provide diverse combinations of spatial information and modeling capabilities to enhance decision-making processes and planning. GIS usage is also highly multidisciplinary; the class may be of interest to students of several other programs such as civil engineering biology business or health sciences. Course includes a laboratory component.  Geography and Meteorology 166 
GEO 225, Cartography and Map Design 3 Cr.,  An introduction to the art and science of drafting accurate and visually interesting maps. This course offers practical training in elements of data acquisition and compilation map projections scales design layout typography color semiotics as well as statistical methods for mapping geographically referenced information. The role of cartography in geography public health engineering business environment and society will be discussed. 
MET 240.,) An exploration of past climate changes and the issue of contemporary anthropogenic greenhouse warming., Students will gain an understanding of the major forcing mechanisms behind climate change as well as the feedbacks that are important in the climate system. Not open to students who have received credit for 
GEO 285, Natural Hazards 2+2 3 Cr.,  An investigation of the physical causes geographic distribution and human threats of a wide range of environmental hazards including earthquake volcano tsunami landslide hurricane tornado and flood disasters. The course will make abundant use of GIS and remote sensing technology. 
GEO 290, Topics in Geography 1-3 Cr.,  This course is designed to examine current geographic topics. These may include American minority settlement patterns and communities cultural ecology geographic techniques travel and tourism medical geography and problems associated with the physical environment. May be repeated when the topic is different. 
GEO 330, Remote Sensing of the Environment 3 Cr.,  This course develops technical and methodological skills needed to analyze digital remote sensing data to study Earth’s environments. Topics will include image processing classification feature extraction band indices (e.g. NDVI) and change analysis for mapping and modeling. Emphasis will be placed on applications culminating in a project and presentation. No prior remote sensing experience is needed. 
GEO 365, Biogeography 3 Cr.,  This course introduces students to an important interdisciplinary bridge between biology and geography. Biogeography is the study of inferring ecological and evolutionary relationships between living organisms and their physical environment from the analysis of their spatial and temporal distribution patterns. Students will learn to assess patterns of variation across physical gradients such as latitude climate elevation and isolation in relation to the distribution of plant and animal species on the earth. The course will also discuss human activities such as domestication habitat alteration species introduction and extinctions and global environmental changes. 
GEO 415,/515 Advanced Geographic Information Systems 3 Cr.,  A course in research design and execution using GIS. Students will enhance their knowledge of GIS packages and advanced operations while researching a topic or problem. Individual and/ or class projects will also focus on designing research for GIS.     Geography and Meteorology 167 
MET 460.,) This course will examine the analysis methods used in the geosciences with a focus on environmentally collected data sets., The course emphasizes visualization of data as well as applications ranging from basic model building to regression and introductory time series analysis. The primary tool for analysis is R an open source software package that runs on virtually any platform.  
GEO 496, Research in Geography 1-3 Cr.,  Students working individually or as part of a research group conduct original research in geography under the direction of a faculty member. Students collect and analyze data and report their results in both writing and in an oral presentation. Open to all students regardless of class standing. S/U grade.  
MET 103, Introduction to Meteorology 3+2 4 Cr.,  An introductory course providing a general overview of atmospheric science with emphasis on midlatitude cyclones and anticyclones air masses atmospheric stability precipitation processes and convection. Course includes a laboratory component. May be used to partially fulfill the Natural Science component of the General Education Requirements.  
MET 130, Weather Technology 3 Cr.,  A course designed to give students experience using available weather technology. Students will be introduced to the Linux operating system computer software specifically used in meteorology and plotting meteorological charts. Introduction of simple shell scripting and map making will play a large role in the course. Additionally students will be introduced to formal map analysis and mid-latitude weather systems.  
MET 190, Topics in Weather and Climate 3+2 4 Cr.,  This course provides general-education studies in atmospheric science with potential topics including severe and unusual weather Great Lakes weather and climate and climate change. This course is designed for non-majors interested in learning about weather and climate and includes a laboratory component. May be used to fulfill the Natural Science component of the General Education Requirements.  
MET 216, Introduction to Meteorological Observation and Analysis 3 Cr.,  Introduces atmospheric structures conceptual models and the basic techniques of meteorological analysis. Upper-air and surface observation codes NCEP operational products and atmospheric observing systems including Doppler radar wind profilers satellites and ASOS are discussed.  
GEO 240.,) An exploration of past climate changes and the issue of contemporary anthropogenic greenhouse warming., Students will gain an understanding of the major forcing mechanisms behind climate change as well as the feedbacks that are important in the climate system. Not open to students who have received credit for 
MET 271, Aviation Meteorology 3 Cr.,  Introduction to analysis and forecasting of weather phenomena related to the aviation industry including aircraft icing turbulence wind shear and severe storms. Other topics include the history of aviation forecasting advanced METAR coding Terminal Aerodrome Forecasts (TAFs) and an introduction to related software packages including BUFKIT.  
MET 290, Topics in Meteorology 1-3 Cr.,  Seminar in selected meteorological topics appropriate for more intensive investigation at the intermediate level with an emphasis on the relationship between meteorology and other disciplines. Topics may include remote sensing natural hazards and meteorology in the humanities or social sciences. May be repeated for credit if the topic is different.  
MET 291, Professional Perspectives 1 Cr.,  A seminar course aimed at preparing students for scholarships internships and postgraduate life in atmospheric science. Career paths in atmospheric science will be explored. In preparation for graduate school or employment students will create resumes cover letters and personal essays. Interview techniques professional expectations and concerns will be reviewed. Topics including professional ethics and responsibilities of scientists will be discussed.  
MET 292, Lake Effect Snow Analysis and Forecasting 1 Cr.,  This course examines the analysis and forecasting of lake effect snow. In addition to reading journal articles covering several aspects of lake effect snow students explore case studies from each of the Great Lakes. The class format is a combination of student presentations discussion and lecture.  
MET 330, Meteorological Computer Applications 3 Cr.,  An introduction to computing in an atmospheric science context. FORTRAN programming in Windows and UNIX environments is used to analyze meteorological processes such as convection advection phase changes etc. Additional programming languages may be included as appropriate.  
MET 335, Meteorological Instruments 3 Cr.,  An introduction to meteorological instrumentation and measurements of common meteorological variables. The physical principles of each instrument will be introduced with attention paid to the limits of atmospheric measurements data quality and control and sources of error. Students will work with a number of different instruments throughout the course including temperature sensors radiosonde packages and barometers.     Geography and Meteorology 169 
MET 350, Boundary Layer Meteorology 3 Cr.,  A study of the physical processes of the earth’s boundary layer and microclimate. Topics will include turbulent transfer in the boundary layer the surface energy balance turbulent fluxes of heat moisture and momentum evapotranspiration and the modification of weather and climate due to surface and boundary layer conditions.  
MET 372,/572 Atmospheric Dynamics I 3+2 4 Cr.,  A general survey of the fundamental forces and laws that govern atmospheric processes. Emphases are on the derivations and applications of the basic equations of motion atmospheric thermodynamics gradient and geostrophic flow and the general circulation. Course includes a laboratory component. Meteorology majors only.  
MET 385,/585 Field Study in Meteorology 0+4 3 Cr.,  Field work emphasizing aspects of meteorological analysis and forecasting. Topics include severe storm prediction spotting and interception and aviation meteorology. May be repeated for credit if the topics are different. Additional fees charged to cover expenses.  
MET 430,/530 Numerical Weather Prediction 3 Cr.,  An introduction to numerical modeling techniques and weather prediction models: model fundamentals structures dynamics physical parameterization and model forecast diagnostics. Students will gain experience running simple codes and study different aspects and intelligent use of weather models.  
MET 440,/540 Global Climate Change 3 Cr.,  An examination of the physical processes of global climate change both past and future. The emphasis will be on the issues of future climate change including greenhouse forcing and important atmospheric and oceanic feedback mechanisms. The course will also investigate local and regional climate changes resulting from land use such as deforestation and desertification. In addition to discussing relevant literature students will explore several climate data sets.  
GEO 460.,) This course will examine the analysis methods used in the geosciences with a focus on environmentally collected data sets., The course emphasizes visualization of data as well as applications ranging from basic model building to regression and introductory time series analysis. The primary tool for analysis is R an open source software package that runs on virtually any platform.  
MET 471, Advanced Aviation Meteorology 2 Cr.,  An intensified focus on real-time applications and real-world scenarios related to the interpretation and forecasting of meteorological phenomena for the aviation industry. Topics will include computer-based activities including advanced TAF creation and amendment generation of turbulence forecast products advanced aircraft icing BUFKIT and RAOB software functionality oral briefing techniques and an introduction to space weather/physics.     Geography and Meteorology 170 
MET 480,/580 Synoptic Scale Analysis and Forecasting 3+2 4 Cr.,  A capstone course that applies the principles of atmospheric dynamics and thermodynamics to describe the formation organization and evolution of mid-latitude weather systems. Topics include historical aspects of extratropical cyclone theory scales of atmospheric motion development and movement of mid-latitude cyclones from a quasi-geostrophic potential vorticity and energy perspective synoptic satellite applications and interpretation Rossby wave theory basics of numerical weather predictions models basic forecast methods and forecast verification. Students present their forecasts in oral and written formats and serve in the Valparaiso University weather center to issue local forecasts and answer public inquiries. Course includes a laboratory component.  
MET 481,/581 Mesoscale Analysis and Forecasting 3+2 4 Cr.,  A capstone course applying principles of atmospheric dynamics and thermodynamics to the processes that focus and organize mesoscale weather systems. Topics include mechanically and thermally driven circulations such as land/sea breezes lake-effect snow slope/valley flows mountain waves and polar lows. Atmospheric stability convection theory atmospheric discontinuities severe convention MCCs and analysis and forecast methods are examined. Course includes a laboratory component.  
MET 496, Research in Meteorology 1-3 Cr.,  Students working individually or in a small group conduct original research in meteorology under the direction of a faculty member. Students collect and analyze data and report their results in both writing and in an oral presentation. Open to all students regardless of class standing. Consent of the instructor required. S/U grade. 
SOC 275, Systems of Social Stratification 3 Cr., Degree Completion of the degree requirements of the College of Arts and Sciences with a major in history leads to the Bachelor of Arts degree. Pre-Law Students Pre-law students who are taking a major in history should consult their advisor about appropriate course selections and about the selection of a second major or a minor. Credit by Examination Credit for 
HIST 120, and 121 may be earned through the College Level Examination Program subject examination in American History or through the Advanced Placement examination offered by the College Entrance Examination Board., Approval of Schedules Each class of majors is assigned to a member of the department for advising. The chair advises minors. Note: Any 3-credit history course may be used to fulfill the Humanities: History component of the General Education Requirements. Certain History courses may be used to fulfill the Cultural Diversity course component of the General Education Requirements; see course descriptions for details. History Courses 
HIST 120, The American Experience to 1877 3 Cr.,  A survey of American history from the Columbian exchange through the end of Reconstruction with emphasis on cultural contact democratic ideals and realities western expansion and sectional conflict.                                                                     2 May also be used to fulfill General Education requirements where appropriate. History 173 
